[I 2020-01-15 20:56:22.237 SingleUserLabApp extension:158] JupyterLab extension loaded from /opt/jupyterhub/lib64/python3.6/site-packages/jupyterlab
[I 2020-01-15 20:56:26.691 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785894 (guest160@69.28.236.4) 1.97ms
[I 2020-01-15 20:56:26.709 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785895 (guest160@69.28.236.4) 2.03ms
[I 2020-01-15 20:56:26.712 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785896 (guest160@69.28.236.4) 2.25ms
[I 2020-01-15 20:56:26.715 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785897 (guest160@69.28.236.4) 1.98ms
[I 2020-01-15 20:56:26.724 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785899 (guest160@69.28.236.4) 1.98ms
[I 2020-01-15 20:56:26.733 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785900 (guest160@69.28.236.4) 1.99ms
[I 2020-01-15 20:56:26.736 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785901 (guest160@69.28.236.4) 2.01ms
[I 2020-01-15 20:56:26.748 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785903 (guest160@69.28.236.4) 1.99ms
[I 2020-01-15 20:56:26.763 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785905 (guest160@69.28.236.4) 2.04ms
[I 2020-01-15 20:56:26.766 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785904 (guest160@69.28.236.4) 2.04ms
[I 2020-01-15 20:56:26.770 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785906 (guest160@69.28.236.4) 2.01ms
[I 2020-01-15 20:56:26.774 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/@jupyterlab/docmanager-extension:plugin?1579121785913 (guest160@69.28.236.4) 2.12ms
[I 2020-01-15 20:56:26.776 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121785917 (guest160@69.28.236.4) 1.37ms
[I 2020-01-15 20:56:26.783 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/workspaces/lab?1579121785929 (guest160@69.28.236.4) 1.37ms
[I 2020-01-15 20:56:27.012 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121785931 (guest160@69.28.236.4) 214.40ms
[I 2020-01-15 20:56:27.423 SingleUserLabApp log:174] 204 PUT /user/guest160/lab/api/workspaces/lab?1579121787859 (guest160@69.28.236.4) 8.08ms
[I 2020-01-15 20:56:28.174 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121788607 (guest160@69.28.236.4) 11.50ms
[I 2020-01-15 20:56:35.010 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121795446 (guest160@69.28.236.4) 1.57ms
[I 2020-01-15 20:56:35.048 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121795484 (guest160@69.28.236.4) 1.29ms
[I 2020-01-15 20:56:36.616 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121797041 (guest160@69.28.236.4) 12.69ms
[I 2020-01-15 20:56:37.068 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121797497 (guest160@69.28.236.4) 6.65ms
[I 2020-01-15 20:56:45.078 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121805498 (guest160@69.28.236.4) 1.49ms
[I 2020-01-15 20:56:45.102 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121805539 (guest160@69.28.236.4) 1.22ms
[I 2020-01-15 20:56:47.133 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121807564 (guest160@69.28.236.4) 4.91ms
[I 2020-01-15 20:56:48.348 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121808764 (guest160@69.28.236.4) 12.07ms
[I 2020-01-15 20:56:55.144 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121815567 (guest160@69.28.236.4) 1.71ms
[I 2020-01-15 20:56:55.146 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121815588 (guest160@69.28.236.4) 1.17ms
[I 2020-01-15 20:56:57.192 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121817625 (guest160@69.28.236.4) 5.08ms
[I 2020-01-15 20:57:05.215 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121825652 (guest160@69.28.236.4) 2.97ms
[I 2020-01-15 20:57:05.216 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121825625 (guest160@69.28.236.4) 2.61ms
[I 2020-01-15 20:57:07.243 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121827678 (guest160@69.28.236.4) 5.03ms
[I 2020-01-15 20:57:15.287 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121835704 (guest160@69.28.236.4) 1.68ms
[I 2020-01-15 20:57:15.289 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121835717 (guest160@69.28.236.4) 1.42ms
[I 2020-01-15 20:57:17.303 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121837730 (guest160@69.28.236.4) 5.11ms
[I 2020-01-15 20:57:18.546 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121838973 (guest160@69.28.236.4) 11.34ms
[I 2020-01-15 20:57:22.208 SingleUserLabApp management:320] New terminal with automatic name: 1
[I 2020-01-15 20:57:22.209 SingleUserLabApp log:174] 200 POST /user/guest160/api/terminals?1579121842601 (guest160@69.28.236.4) 48.78ms
[I 2020-01-15 20:57:22.706 SingleUserLabApp log:174] 101 GET /user/guest160/terminals/websocket/1?token=[secret] (guest160@69.28.236.4) 1.65ms
TermSocket.open: 1
TermSocket.open: Opened 1
[I 2020-01-15 20:57:23.254 SingleUserLabApp log:174] 204 PUT /user/guest160/lab/api/workspaces/lab?1579121843688 (guest160@69.28.236.4) 4.53ms
[I 2020-01-15 20:57:25.350 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121845781 (guest160@69.28.236.4) 1.60ms
[I 2020-01-15 20:57:25.353 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121845791 (guest160@69.28.236.4) 1.28ms
[I 2020-01-15 20:57:25.981 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121846401 (guest160@69.28.236.4) 14.21ms
[I 2020-01-15 20:57:26.012 SingleUserLabApp log:174] 200 GET /user/guest160/api/kernelspecs?1579121846447 (guest160@69.28.236.4) 3.24ms
[I 2020-01-15 20:57:27.389 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121847817 (guest160@69.28.236.4) 4.94ms
[I 2020-01-15 20:57:35.420 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121855831 (guest160@69.28.236.4) 1.45ms
[I 2020-01-15 20:57:35.422 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121855859 (guest160@69.28.236.4) 1.23ms
[I 2020-01-15 20:57:37.443 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121857867 (guest160@69.28.236.4) 12.91ms
[I 2020-01-15 20:57:37.448 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121857881 (guest160@69.28.236.4) 4.23ms
[I 2020-01-15 20:57:45.478 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121865906 (guest160@69.28.236.4) 2.82ms
[I 2020-01-15 20:57:45.478 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121865917 (guest160@69.28.236.4) 2.33ms
[I 2020-01-15 20:57:47.530 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121867962 (guest160@69.28.236.4) 4.42ms
[I 2020-01-15 20:57:55.547 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121875959 (guest160@69.28.236.4) 1.76ms
[I 2020-01-15 20:57:55.549 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121875987 (guest160@69.28.236.4) 1.28ms
[I 2020-01-15 20:57:57.580 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121878019 (guest160@69.28.236.4) 4.96ms
[I 2020-01-15 20:58:05.602 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121886028 (guest160@69.28.236.4) 1.69ms
